question_id|radionuclide|fact_type|prompt|correct_option|incorrect_option|explanation|difficulty|tags
HON_0033|Rb-82|emission|Which emission is correct?|Positron emission|Isomeric transition|Rb-82 is a positron emitter used for PET myocardial perfusion imaging.|3
HON_0034|Rb-82|half_life|Which half-life is correct?|~75 seconds|~110 minutes|Rb-82 has a very short physical half-life of approximately 75 seconds.|3
HON_0035|Rb-82|generation|Which production method is correct?|Sr-82/Rb-82 generator|Mo-99/Tc-99m generator|Rb-82 is obtained from a Sr-82/Rb-82 generator.|3
HON_0036|Rb-82|common_use|Which use is correct?|PET myocardial perfusion imaging|Thyroid ablation|Rb-82 is used for PET myocardial perfusion imaging.|3
HON_0037|Lu-177|emission|Which emission profile is correct?|Beta-minus therapy with gamma emissions|Positron-only diagnostic imaging|Lu-177 is a beta-minus emitter used therapeutically and also emits gamma photons that permit imaging and dosimetry.|4
HON_0038|Lu-177|half_life|Which half-life is correct?|~6.7 days|~68 minutes|Lu-177 has a physical half-life of approximately 6.7 days.|4
HON_0039|Lu-177|decay_mode|Which decay mode is correct?|Beta-minus decay|Electron capture|Lu-177 decays by beta-minus emission.|4
HON_0040|Lu-177|common_use|Which use is correct?|Theranostic treatment such as DOTATATE or PSMA therapy|Pulmonary ventilation imaging|Lu-177 is used in targeted radionuclide therapies including Lu-177 DOTATATE and Lu-177 PSMA agents.|4
HON_0041|Y-90|emission|Which emission is correct?|High-energy beta-minus emission|140 keV gamma|Y-90 is primarily a high-energy beta-minus emitter used for therapy.|4
HON_0042|Y-90|half_life|Which half-life is correct?|~64 hours|~6 hours|Y-90 has a physical half-life of approximately 64 hours.|4
HON_0043|Y-90|decay_mode|Which decay mode is correct?|Beta-minus decay|Electron capture|Y-90 decays by beta-minus emission.|4
HON_0044|Y-90|common_use|Which use is correct?|Radioembolization therapy|Bone scan imaging|Y-90 microspheres are used for hepatic radioembolization therapy.|4
HON_0045|Ra-223|emission|Which emission is correct?|Alpha emission|Positron emission|Ra-223 is an alpha emitter used for treatment of osteoblastic bone metastases from prostate cancer.|5
HON_0046|Ra-223|half_life|Which half-life is correct?|~11.4 days|~75 seconds|Ra-223 has a physical half-life of approximately 11.4 days.|5
HON_0047|Ra-223|decay_mode|Which decay mode is correct?|Alpha decay|Isomeric transition|Ra-223 is an alpha-emitting therapeutic radionuclide.|5
HON_0048|Ra-223|common_use|Which use is correct?|Treatment of bone metastases from prostate cancer|Renal tubular function imaging|Ra-223 is used for symptomatic bone-predominant metastatic prostate cancer without known visceral metastatic disease.|5
