item_id|radionuclide|prompt|correct_option|explanation|difficulty|distractor_group
USE_0030|I-131 sodium iodide imaging|Which common use is correct?|Whole-body imaging for differentiated thyroid cancer after thyroidectomy or therapy|I-131 can be used for whole-body imaging in differentiated thyroid cancer, though I-123 is preferred for many diagnostic thyroid imaging scenarios.|2|thyroid_cancer_wbi
USE_0031|I-131 MIBG|Which common use is correct?|Targeted radiotherapy for selected MIBG-avid neuroendocrine tumors|I-131 MIBG delivers radiation to MIBG-avid tumors such as selected pheochromocytoma, paraganglioma, or neuroblastoma cases.|4|mibg_therapy
USE_0032|Lu-177 DOTATATE|Which common use is correct?|Peptide receptor radionuclide therapy for somatostatin receptor-positive neuroendocrine tumors|Lu-177 DOTATATE is used for PRRT in somatostatin receptor-positive neuroendocrine tumors.|1|prrt_net
USE_0033|Lu-177 PSMA agent|Which common use is correct?|Radioligand therapy for PSMA-positive metastatic prostate cancer|Lu-177 PSMA-targeted radioligand therapy is used for selected PSMA-positive metastatic prostate cancer.|2|psma_therapy
USE_0034|Y-90 microspheres|Which common use is correct?|Hepatic radioembolization for selected liver tumors|Y-90 microspheres are used for transarterial radioembolization of selected primary or metastatic liver tumors.|1|hepatic_radioembolization
USE_0035|Y-90 ibritumomab tiuxetan|Which common use is correct?|Radioimmunotherapy for selected CD20-positive B-cell non-Hodgkin lymphoma|Y-90 ibritumomab tiuxetan is a CD20-targeted radioimmunotherapy historically used for selected B-cell lymphomas.|4|lymphoma_radioimmunotherapy
USE_0036|Ra-223 dichloride|Which common use is correct?|Treatment of symptomatic osteoblastic bone metastases from prostate cancer|Ra-223 dichloride is an alpha-emitting calcium mimetic used for selected patients with symptomatic bone-predominant metastatic prostate cancer.|1|bone_metastasis_alpha_therapy
USE_0037|Rb-82 chloride|Which common use is correct?|PET myocardial perfusion imaging|Rb-82 chloride is a generator-produced PET myocardial perfusion agent used for rest and stress evaluation of coronary artery disease.|1|myocardial_perfusion_pet
USE_0038|C-11 choline|Which common use is correct?|PET imaging of recurrent prostate cancer in selected settings|C-11 choline has been used for PET imaging in prostate cancer, particularly biochemical recurrence, though PSMA agents have changed current practice.|4|prostate_pet_choline
USE_0039|C-11 methionine|Which common use is correct?|PET imaging of brain tumors in selected centers|C-11 methionine is an amino acid PET tracer used in selected neuro-oncology applications, generally requiring an on-site cyclotron.|4|brain_tumor_amino_acid_pet
USE_0040|N-13 ammonia|Which common use is correct?|PET myocardial perfusion imaging|N-13 ammonia is a cyclotron-produced PET myocardial perfusion tracer used at centers with appropriate production capability.|2|myocardial_perfusion_pet
USE_0041|O-15 water|Which common use is correct?|Quantitative PET perfusion and blood flow imaging|O-15 water is used for quantitative PET perfusion and blood flow imaging but requires on-site cyclotron production due to its very short half-life.|4|perfusion_blood_flow_pet
USE_0042|In-111 labeled leukocytes|Which common use is correct?|Infection and inflammation imaging with labeled white blood cells|In-111 labeled leukocytes are used for infection and inflammation imaging, including musculoskeletal infection evaluation.|2|labeled_wbc_infection
USE_0043|In-111 pentetreotide|Which common use is correct?|Somatostatin receptor imaging of neuroendocrine tumors|In-111 pentetreotide is an older somatostatin receptor imaging agent that has largely been superseded by PET somatostatin receptor agents where available.|3|somatostatin_receptor_imaging
USE_0044|In-111 DTPA intrathecal|Which common use is correct?|CSF cisternography for suspected CSF leak or CSF flow evaluation|In-111 DTPA can be administered intrathecally for radionuclide cisternography in selected cases.|4|csf_cisternography
USE_0045|Tl-201 chloride|Which common use is correct?|Myocardial perfusion imaging and viability assessment|Tl-201 chloride is a potassium analog historically used for myocardial perfusion and viability imaging.|2|myocardial_perfusion
USE_0046|Tl-201 chloride tumor imaging|Which common use is correct?|Selected tumor imaging such as parathyroid or brain tumor applications in older protocols|Tl-201 has been used in selected tumor imaging applications, though many uses are now less common.|4|tumor_imaging_older_protocol
USE_0047|Ga-67 citrate|Which common use is correct?|Infection, inflammation, lymphoma, and fever of unknown origin imaging|Ga-67 citrate has been used for infection, inflammation, lymphoma, and fever of unknown origin imaging, though many applications have shifted toward other agents.|2|gallium_infection_lymphoma
USE_0048|Xe-133 gas|Which common use is correct?|Pulmonary ventilation imaging|Xe-133 is an inhaled radioactive gas used for ventilation imaging, especially in V/Q scan workflows historically or where available.|2|pulmonary_ventilation
USE_0049|Mo-99|Which common use is correct?|Parent radionuclide for Tc-99m generators rather than direct patient imaging|Mo-99 is clinically important as the parent radionuclide in Mo-99/Tc-99m generators, not as a routine directly administered imaging agent.|1|generator_parent
USE_0050|Cu-64 DOTATATE|Which common use is correct?|Somatostatin receptor PET imaging of neuroendocrine tumors|Cu-64 DOTATATE is a longer-half-life somatostatin receptor PET agent for neuroendocrine tumor imaging.|3|somatostatin_receptor_pet
